vehicle,stop_code,date,arrival_time,departure_time,passenger_on,passenger_off
Vehicle1,2,07/02/2012,08:00:58,08:01:58,24,0
Vehicle1,3,07/02/2012,08:03:25,08:04:25,40,0
Vehicle1,3,07/02/2012,08:04:26,08:05:26,0,1
Vehicle1,4,07/02/2012,08:07:34,08:08:34,39,0
Vehicle1,4,07/02/2012,08:08:35,08:09:35,1,0
Vehicle2,1,07/02/2012,08:13:01,08:14:01,35,1
Vehicle2,1,07/02/2012,08:14:02,08:15:02,1,0
Vehicle2,1,07/02/2012,08:15:03,08:16:03,1,0
Vehicle1,5,07/02/2012,08:17:29,08:18:29,42,1
Vehicle2,2,07/02/2012,08:18:52,08:19:52,7,1
Vehicle2,2,07/02/2012,08:19:53,08:20:53,0,0
Vehicle2,2,07/02/2012,08:20:54,08:21:54,0,0
Vehicle1,6,07/02/2012,08:21:40,08:22:40,49,0
Vehicle2,2,07/02/2012,08:21:55,08:22:55,0,0
Vehicle1,6,07/02/2012,08:22:41,08:23:41,2,0
Vehicle2,3,07/02/2012,08:24:15,08:25:15,13,0
Vehicle2,4,07/02/2012,08:27:09,08:28:09,10,0
Vehicle1,7,07/02/2012,08:27:56,08:28:56,35,1
Vehicle2,4,07/02/2012,08:28:10,08:29:10,0,0
Vehicle1,7,07/02/2012,08:28:57,08:29:57,1,0
Vehicle2,4,07/02/2012,08:29:11,08:30:11,1,1
Vehicle1,7,07/02/2012,08:29:58,08:30:58,0,2
Vehicle2,4,07/02/2012,08:30:12,08:31:12,0,0
Vehicle1,8,07/02/2012,08:35:23,08:36:23,48,0
Vehicle1,8,07/02/2012,08:36:24,08:37:24,0,2
Vehicle1,8,07/02/2012,08:37:25,08:38:25,1,0
Vehicle1,8,07/02/2012,08:38:26,08:39:26,1,0
Vehicle2,5,07/02/2012,08:39:03,08:40:03,15,1
Vehicle1,8,07/02/2012,08:39:27,08:40:27,0,0
Vehicle2,5,07/02/2012,08:40:04,08:41:04,1,1
Vehicle2,6,07/02/2012,08:43:57,08:44:57,12,0
Vehicle1,9,07/02/2012,08:44:22,08:45:22,67,1
Vehicle2,6,07/02/2012,08:44:58,08:45:58,0,2
Vehicle1,9,07/02/2012,08:45:23,08:46:23,1,0
Vehicle1,9,07/02/2012,08:46:24,08:47:24,1,0
Vehicle2,7,07/02/2012,08:50:26,08:51:26,8,1
Vehicle1,10,07/02/2012,08:51:08,08:52:08,55,0
Vehicle1,10,07/02/2012,08:52:09,08:53:09,2,0
Vehicle1,10,07/02/2012,08:53:10,08:54:10,1,0
Vehicle2,8,07/02/2012,08:55:48,08:56:48,8,0
Vehicle1,11,07/02/2012,08:57:17,08:58:17,74,2
Vehicle2,9,07/02/2012,09:00:43,09:01:43,11,0
Vehicle2,9,07/02/2012,09:01:44,09:02:44,1,0
Vehicle1,11,07/02/2012,08:57:17,09:02:52,74,2
Vehicle2,9,07/02/2012,09:02:45,09:03:45,2,0
Vehicle2,9,07/02/2012,09:03:46,09:04:46,0,0
Vehicle2,9,07/02/2012,09:04:47,09:05:47,1,1
Vehicle2,9,07/02/2012,09:05:48,09:06:48,0,0
Vehicle1,11,07/02/2012,08:57:17,09:06:56,74,2
Vehicle1,11,07/02/2012,08:57:17,09:06:57,74,2
Vehicle2,9,07/02/2012,09:06:49,09:07:49,2,0
Vehicle1,1,07/02/2012,09:06:58,09:07:58,31,1
Vehicle2,9,07/02/2012,09:07:50,09:08:50,0,0
Vehicle1,1,07/02/2012,09:07:59,09:08:59,0,0
Vehicle1,1,07/02/2012,09:09:00,09:10:00,0,0
Vehicle2,10,07/02/2012,09:12:32,09:13:32,13,0
Vehicle1,2,07/02/2012,09:12:44,09:13:44,24,1
Vehicle1,2,07/02/2012,09:13:45,09:14:45,2,0
Vehicle1,3,07/02/2012,09:16:11,09:17:11,35,0
Vehicle2,11,07/02/2012,09:16:41,09:17:41,9,1
Vehicle1,4,07/02/2012,09:19:20,09:20:20,33,0
Vehicle2,11,07/02/2012,09:16:41,09:22:14,9,1
Vehicle2,11,07/02/2012,09:16:41,09:22:15,9,1
Vehicle2,11,07/02/2012,09:16:41,09:22:16,9,1
Vehicle2,11,07/02/2012,09:16:41,09:22:17,9,1
Vehicle2,11,07/02/2012,09:16:41,09:26:29,9,1
Vehicle2,11,07/02/2012,09:16:41,09:26:30,9,1
Vehicle2,1,07/02/2012,09:26:31,09:27:31,9,0
Vehicle2,1,07/02/2012,09:27:32,09:28:32,1,1
